sensor_index,humidity,temperature,pm2_5,latitude,longitude,date_time
83919,16,19.7,2.700000047683716,40.68,-112.05,2025-06-07 00:00:00
83919,17,18.7,2.700000047683716,40.68,-112.05,2025-06-07 01:00:00
83919,17,18.4,2.700000047683716,40.68,-112.05,2025-06-07 02:00:00
83919,17,17.9,2.900000095367432,40.68,-112.05,2025-06-07 03:00:00
83919,17,17.2,2.75,40.68,-112.05,2025-06-07 04:00:00
83919,18,16.4,2.75,40.68,-112.05,2025-06-07 05:00:00
83919,21,16.1,2.900000095367432,40.68,-112.05,2025-06-07 06:00:00
83919,38,16.4,3.200000047683716,40.68,-112.05,2025-06-07 07:00:00
83919,39,19.3,3.25,40.68,-112.05,2025-06-07 08:00:00
83919,30,21.8,3.25,40.68,-112.05,2025-06-07 09:00:00
83919,27,23.7,3.049999952316284,40.68,-112.05,2025-06-07 10:00:00
83919,22,25.4,3.0,40.68,-112.05,2025-06-07 11:00:00
83919,20,26.9,3.150000095367432,40.68,-112.05,2025-06-07 12:00:00
83919,20,27.1,3.049999952316284,40.68,-112.05,2025-06-07 13:00:00
83919,20,27.7,3.0,40.68,-112.05,2025-06-07 14:00:00
83919,20,28.0,3.0,40.68,-112.05,2025-06-07 15:00:00
83919,20,27.9,2.75,40.68,-112.05,2025-06-07 16:00:00
83919,20,27.9,2.650000095367432,40.68,-112.05,2025-06-07 17:00:00
83919,20,27.6,2.650000095367432,40.68,-112.05,2025-06-07 18:00:00
83919,22,27.2,2.5999999046325684,40.68,-112.05,2025-06-07 19:00:00
83919,31,24.7,2.5,40.68,-112.05,2025-06-07 20:00:00
83919,31,20.9,2.5,40.68,-112.05,2025-06-07 21:00:00
83919,27,20.4,2.5,40.68,-112.05,2025-06-07 22:00:00
83919,27,20.0,2.450000047683716,40.68,-112.05,2025-06-07 23:00:00
83919,16,19.7,2.700000047683716,40.68,-112.04,2025-06-07 00:00:00
83919,17,18.7,2.700000047683716,40.68,-112.04,2025-06-07 01:00:00
83919,17,18.4,2.700000047683716,40.68,-112.04,2025-06-07 02:00:00
83919,17,17.9,2.900000095367432,40.68,-112.04,2025-06-07 03:00:00
83919,17,17.2,2.75,40.68,-112.04,2025-06-07 04:00:00
83919,18,16.4,2.75,40.68,-112.04,2025-06-07 05:00:00
83919,21,16.1,2.900000095367432,40.68,-112.04,2025-06-07 06:00:00
83919,38,16.5,3.200000047683716,40.68,-112.04,2025-06-07 07:00:00
83919,39,19.4,3.25,40.68,-112.04,2025-06-07 08:00:00
83919,30,21.9,3.25,40.68,-112.04,2025-06-07 09:00:00
83919,27,23.8,3.049999952316284,40.68,-112.04,2025-06-07 10:00:00
83919,22,25.5,3.0,40.68,-112.04,2025-06-07 11:00:00
83919,20,27.0,3.150000095367432,40.68,-112.04,2025-06-07 12:00:00
83919,20,27.2,3.049999952316284,40.68,-112.04,2025-06-07 13:00:00
83919,20,27.8,3.0,40.68,-112.04,2025-06-07 14:00:00
83919,20,28.1,3.0,40.68,-112.04,2025-06-07 15:00:00
83919,20,28.0,2.75,40.68,-112.04,2025-06-07 16:00:00
83919,20,28.0,2.650000095367432,40.68,-112.04,2025-06-07 17:00:00
83919,20,27.7,2.650000095367432,40.68,-112.04,2025-06-07 18:00:00
83919,22,27.3,2.5999999046325684,40.68,-112.04,2025-06-07 19:00:00
83919,31,24.8,2.5,40.68,-112.04,2025-06-07 20:00:00
83919,31,21.0,2.5,40.68,-112.04,2025-06-07 21:00:00
83919,27,20.5,2.5,40.68,-112.04,2025-06-07 22:00:00
83919,27,20.1,2.450000047683716,40.68,-112.04,2025-06-07 23:00:00
83919,16,19.8,2.700000047683716,40.68,-112.03,2025-06-07 00:00:00
83919,17,18.8,2.700000047683716,40.68,-112.03,2025-06-07 01:00:00
83919,17,18.5,2.700000047683716,40.68,-112.03,2025-06-07 02:00:00
83919,17,18.0,2.900000095367432,40.68,-112.03,2025-06-07 03:00:00
83919,17,17.3,2.75,40.68,-112.03,2025-06-07 04:00:00
83919,18,16.5,2.75,40.68,-112.03,2025-06-07 05:00:00
83919,21,16.2,2.900000095367432,40.68,-112.03,2025-06-07 06:00:00
83919,38,16.5,3.200000047683716,40.68,-112.03,2025-06-07 07:00:00
83919,39,19.4,3.25,40.68,-112.03,2025-06-07 08:00:00
83919,30,21.9,3.25,40.68,-112.03,2025-06-07 09:00:00
83919,27,23.8,3.049999952316284,40.68,-112.03,2025-06-07 10:00:00
83919,22,25.5,3.0,40.68,-112.03,2025-06-07 11:00:00
83919,20,27.0,3.150000095367432,40.68,-112.03,2025-06-07 12:00:00
83919,20,27.2,3.049999952316284,40.68,-112.03,2025-06-07 13:00:00
83919,20,27.8,3.0,40.68,-112.03,2025-06-07 14:00:00
83919,20,28.1,3.0,40.68,-112.03,2025-06-07 15:00:00
83919,20,28.0,2.75,40.68,-112.03,2025-06-07 16:00:00
83919,20,28.0,2.650000095367432,40.68,-112.03,2025-06-07 17:00:00
83919,20,27.7,2.650000095367432,40.68,-112.03,2025-06-07 18:00:00
83919,22,27.3,2.5999999046325684,40.68,-112.03,2025-06-07 19:00:00
83919,31,24.8,2.5,40.68,-112.03,2025-06-07 20:00:00
83919,31,21.0,2.5,40.68,-112.03,2025-06-07 21:00:00
83919,27,20.5,2.5,40.68,-112.03,2025-06-07 22:00:00
83919,27,20.1,2.450000047683716,40.68,-112.03,2025-06-07 23:00:00
84019,16,19.8,1.0,40.68,-112.02,2025-06-07 00:00:00
84019,17,18.8,1.0499999523162842,40.68,-112.02,2025-06-07 01:00:00
84019,17,18.5,1.2000000476837158,40.68,-112.02,2025-06-07 02:00:00
84019,17,18.0,1.149999976158142,40.68,-112.02,2025-06-07 03:00:00
84019,17,17.3,1.2999999523162842,40.68,-112.02,2025-06-07 04:00:00
84019,18,16.5,1.25,40.68,-112.02,2025-06-07 05:00:00
84019,21,16.2,1.149999976158142,40.68,-112.02,2025-06-07 06:00:00
84019,38,16.6,1.149999976158142,40.68,-112.02,2025-06-07 07:00:00
84019,39,19.5,1.100000023841858,40.68,-112.02,2025-06-07 08:00:00
84019,30,22.0,1.2000000476837158,40.68,-112.02,2025-06-07 09:00:00
84019,27,23.9,1.149999976158142,40.68,-112.02,2025-06-07 10:00:00
84019,22,25.6,1.2000000476837158,40.68,-112.02,2025-06-07 11:00:00
84019,20,27.1,1.2000000476837158,40.68,-112.02,2025-06-07 12:00:00
84019,20,27.3,1.25,40.68,-112.02,2025-06-07 13:00:00
84019,20,27.9,1.100000023841858,40.68,-112.02,2025-06-07 14:00:00
84019,20,28.2,1.0499999523162842,40.68,-112.02,2025-06-07 15:00:00
84019,20,28.1,1.0499999523162842,40.68,-112.02,2025-06-07 16:00:00
84019,20,28.1,0.8999999761581421,40.68,-112.02,2025-06-07 17:00:00
84019,20,27.8,1.0499999523162842,40.68,-112.02,2025-06-07 18:00:00
84019,22,27.4,0.8999999761581421,40.68,-112.02,2025-06-07 19:00:00
84019,31,24.9,0.8999999761581421,40.68,-112.02,2025-06-07 20:00:00
84019,31,21.1,0.8500000238418579,40.68,-112.02,2025-06-07 21:00:00
84019,27,20.6,0.8500000238418579,40.68,-112.02,2025-06-07 22:00:00
84019,27,20.2,0.8999999761581421,40.68,-112.02,2025-06-07 23:00:00
84019,16,19.4,1.0,40.68,-112.01,2025-06-07 00:00:00
84019,16,18.6,1.0499999523162842,40.68,-112.01,2025-06-07 01:00:00
84019,17,17.4,1.2000000476837158,40.68,-112.01,2025-06-07 02:00:00
84019,18,16.4,1.149999976158142,40.68,-112.01,2025-06-07 03:00:00
84019,19,15.2,1.2999999523162842,40.68,-112.01,2025-06-07 04:00:00
84019,22,14.3,1.25,40.68,-112.01,2025-06-07 05:00:00
84019,24,14.8,1.149999976158142,40.68,-112.01,2025-06-07 06:00:00
84019,38,16.6,1.149999976158142,40.68,-112.01,2025-06-07 07:00:00
84019,39,19.5,1.100000023841858,40.68,-112.01,2025-06-07 08:00:00
84019,30,22.0,1.2000000476837158,40.68,-112.01,2025-06-07 09:00:00
84019,27,23.9,1.149999976158142,40.68,-112.01,2025-06-07 10:00:00
84019,22,25.6,1.2000000476837158,40.68,-112.01,2025-06-07 11:00:00
84019,20,27.1,1.2000000476837158,40.68,-112.01,2025-06-07 12:00:00
84019,20,27.3,1.25,40.68,-112.01,2025-06-07 13:00:00
84019,20,27.9,1.100000023841858,40.68,-112.01,2025-06-07 14:00:00
84019,20,28.2,1.0499999523162842,40.68,-112.01,2025-06-07 15:00:00
84019,20,28.1,1.0499999523162842,40.68,-112.01,2025-06-07 16:00:00
84019,20,28.1,0.8999999761581421,40.68,-112.01,2025-06-07 17:00:00
84019,20,27.8,1.0499999523162842,40.68,-112.01,2025-06-07 18:00:00
84019,22,27.4,0.8999999761581421,40.68,-112.01,2025-06-07 19:00:00
84019,31,24.9,0.8999999761581421,40.68,-112.01,2025-06-07 20:00:00
84019,31,21.1,0.8500000238418579,40.68,-112.01,2025-06-07 21:00:00
